# t x1 y1 x2 y2 error_x error_y
204.0300000000 11.4240530921 14.2736832812 11.4240530413 14.2736831718 0.0000000508 0.0000001093
204.0400000000 11.3758565315 14.1819127085 11.3758564822 14.1819125994 0.0000000493 0.0000001091
204.0500000000 11.3289024418 14.0902294052 11.3289023940 14.0902292964 0.0000000479 0.0000001088
204.0600000000 11.2831760060 13.9986522950 11.2831759596 13.9986521866 0.0000000464 0.0000001084
204.0700000000 11.2386626083 13.9071997610 11.2386625633 13.9071996529 0.0000000449 0.0000001081
204.0800000000 11.1953478363 13.8158896528 11.1953477927 13.8158895450 0.0000000435 0.0000001077
204.0900000000 11.1532174831 13.7247392948 11.1532174410 13.7247391874 0.0000000421 0.0000001074
204.1000000000 11.1122575496 13.6337654942 11.1122575089 13.6337653872 0.0000000407 0.0000001070
204.1100000000 11.0724542451 13.5429845488 11.0724542057 13.5429844422 0.0000000394 0.0000001066
204.1200000000 11.0337939892 13.4524122558 11.0337939512 13.4524121496 0.0000000380 0.0000001061
204.1300000000 10.9962634126 13.3620639195 10.9962633759 13.3620638138 0.0000000367 0.0000001057
204.1400000000 10.9598493577 13.2719543602 10.9598493223 13.2719542549 0.0000000354 0.0000001052
204.1500000000 10.9245388790 13.1820979223 10.9245388450 13.1820978175 0.0000000341 0.0000001048
204.1600000000 10.8903192438 13.0925084829 10.8903192110 13.0925083787 0.0000000328 0.0000001043
204.1700000000 10.8571779317 13.0031994605 10.8571779001 13.0031993567 0.0000000315 0.0000001038
204.1800000000 10.8251026347 12.9141838228 10.8251026044 12.9141837196 0.0000000303 0.0000001033
204.1900000000 10.7940812570 12.8254740963 10.7940812279 12.8254739936 0.0000000291 0.0000001027
204.2000000000 10.7641019144 12.7370823738 10.7641018866 12.7370822716 0.0000000278 0.0000001022
204.2100000000 10.7351529337 12.6490203236 10.7351529070 12.6490202219 0.0000000266 0.0000001016
204.2200000000 10.7072228517 12.5612991975 10.7072228262 12.5612990965 0.0000000255 0.0000001011
204.2300000000 10.6803004145 12.4739298398 10.6803003902 12.4739297393 0.0000000243 0.0000001005
204.2400000000 10.6543745765 12.3869226951 10.6543745534 12.3869225952 0.0000000231 0.0000000999
204.2500000000 10.6294344990 12.3002878171 10.6294344770 12.3002877178 0.0000000220 0.0000000993
204.2600000000 10.6054695489 12.2140348767 10.6054695280 12.2140347780 0.0000000209 0.0000000987
204.2700000000 10.5824692977 12.1281731704 10.5824692779 12.1281730722 0.0000000198 0.0000000981
204.2800000000 10.5604235194 12.0427116283 10.5604235007 12.0427115308 0.0000000187 0.0000000975
204.2900000000 10.5393221896 11.9576588226 10.5393221720 11.9576587257 0.0000000176 0.0000000969
